LATITUD,LONGITUD,LUGAR,DIRECCION
42.437493,-8.635046,CAMPOS DE HERBA SINTÉTICA DA XUNQUEIRA,Campos de herba sintética da Xunqueira
42.433965,-8.646367,CASA AZUL,Rúa Harmana Lucía  4 36002 Pontevedra España
42.433456,-8.645793,CEIP FROEBEL,Rúa Princesa 2-12 36002 Pontevedra España
42.419498,-8.636587,LOCAL DE MÚSICA,Rúa Ramón Otero Pedraio 8B 36003 Pontevedra España 
42.449301,-8.640368,PARQUE DE CANS,Parque de Cans
42.438255,-8.637644,PAVILLÓN MULTIUSOS DA XUNQUEIRA,Rúa Celso Emilio Ferreiro 36005 Pontevedra España
42.436731,-8.641748,PAVILLÓN MUNICIPAL DOS DEPORTES,Polideportivo 36005 Pontevedra España  
42.426458,-8.645318,PISTAS DE CAMPOLONGO,Campolongo 36001 Pontevedra España
42.435573,-8.637915,PAZO DA CULTURA,Calle de Alexandre Bóveda s/n 36005 Pontevedra España
42.458632,-8.574674,PRAIA FLUVIAL DO LEREZ,Praia Fluvial do Canal Río Lérez 36120 Pontevedra España  
42.434234,-8.643526,PRAZA DE ABASTOS,Mercado de Abastos 36002 Pontevedra España
42.432184,-8.645192,PRAZA DE CURROS ENRIQUEZ E CASINO MERCANTIL,Plaza Curros Enríquez  1 36002 Pontevedra España
42.430837,-8.643687,PRAZA DA PEREGRINA,A Peregrina 36001  Pontevedra España
42.432789,-8.647456,PRAZA DE SANTA MARÍA,Av Santa María 1, 36002 Pontevedra España   
42.440088,-8.632889,SENDA DO LEREZ,Río Lerez
42.421023,-8.638081,SENDEIRO DO RÍO GAFOS,Río Gafos
42.432661,-8.646265,TEATRO PRINCIPAL,Rúa Duque de Tetuán 6 36002 Pontevedra España
42.421817,-8.637304,SAÍDA DIANTE DA ESTACIÓN DE AUTOBUSES,Rúa da Estación 10  36003  Pontevedra España
